Order_ID,Product_Name,Category,Order_Quantity,Weight_kg,Shipping_Cost,Region,Country,City,Shipping_Mode,Warehouse,Carrier,Order_Date,Ship_Date,Expected_Delivery_Date,Actual_Delivery_Date,Penalty_Cost,Extra_Logistics_Cost,Warehouse_Processing_Time,Warehouse_Delay_Flag,Warehouse_Efficiency_Score,Inventory_Availability,Carrier_Rating,Transit_Time,Distance_KM,Route_Type,Shipping_Priority,Order_Priority,Customer_Type,SLA_Commitment_Days,Order_Year,Order_Month,Order_Week,Day_of_Week,Season,Delay_Reason,Risk_Level,Disruption_Flag,Weather_Impact_Flag,Customer_Satisfaction_Score,Return_Flag,Complaint_Flag
ORD100018,Laptop,Electronics,4,8.85,83.27,North America,Germany,New York,Sea,WH2,UPS,8/14/2023,8/16/2023,8/19/2023,8/27/2023,16,10.35,4,0,93.75,In Stock,1,11,3605,International,Low,High,Premium,4,2023,8,33,Monday,Off-season,Carrier,High,1,1,2.11,1,0
ORD100019,Headphones,Accessories,1,9.71,62.45,North America,India,Berlin,Road,WH1,UPS,10/25/2023,10/26/2023,10/30/2023,11/3/2023,8,12.44,4,0,88.8,In Stock,1,8,2698,Domestic,Low,Medium,Premium,8,2023,10,43,Wednesday,Peak,Customs,Medium,0,1,2.64,1,0
ORD100020,Phone,Accessories,6,7.44,66.87,Europe,Germany,Chennai,Road,WH1,UPS,10/17/2023,10/21/2023,10/29/2023,10/26/2023,0,14.55,2,0,98.44,In Stock,2,5,2097,International,Medium,Low,Regular,9,2023,10,42,Tuesday,Off-season,Warehouse,Low,0,0,1.82,0,0
ORD100021,Camera,Accessories,2,2.02,86.78,Europe,USA,Berlin,Air,WH1,UPS,12/28/2023,12/31/2023,1/4/2024,1/5/2024,2,9.96,4,1,80.28,In Stock,1,5,1146,International,High,Low,Regular,8,2023,12,52,Thursday,Off-season,Carrier,Medium,0,1,2.74,0,0
ORD100022,Headphones,Accessories,9,5.85,47.17,Europe,India,Berlin,Sea,WH3,DHL,4/23/2023,4/27/2023,5/2/2023,5/2/2023,0,3.72,3,1,73.21,Out of Stock,2,5,4092,Domestic,Low,High,Regular,3,2023,4,16,Sunday,Off-season,Carrier,Low,0,0,3.96,1,1
ORD100023,Laptop,Accessories,1,7.45,39.97,North America,USA,Chennai,Road,WH2,DHL,3/9/2023,3/13/2023,3/21/2023,3/19/2023,0,7.18,2,0,87.92,In Stock,1,6,3739,International,Medium,Medium,Regular,8,2023,3,10,Thursday,Off-season,Customs,High,0,0,4.25,0,0
ORD100024,Laptop,Electronics,1,5.38,77.42,North America,India,New York,Air,WH3,FedEx,5/16/2023,5/19/2023,5/27/2023,5/22/2023,0,11.62,2,0,74.6,Out of Stock,3,3,3897,Domestic,Low,High,Premium,5,2023,5,20,Tuesday,Peak,Weather,Medium,1,0,1.64,0,0
ORD100025,Tablet,Electronics,6,5.77,33.24,Asia,Germany,Chennai,Road,WH2,UPS,10/7/2023,10/10/2023,10/17/2023,10/17/2023,0,12.26,1,0,79.48,Out of Stock,1,7,2891,International,Medium,Low,Regular,6,2023,10,40,Saturday,Off-season,Warehouse,Medium,1,1,3.92,1,0
ORD100026,Tablet,Electronics,1,6.07,36.15,North America,India,Chennai,Sea,WH1,DHL,3/17/2023,3/20/2023,3/23/2023,3/23/2023,0,5.35,3,0,78.73,Out of Stock,4,3,3054,Domestic,Medium,Medium,Premium,8,2023,3,11,Friday,Peak,Weather,Low,1,1,4.17,0,0
ORD100027,Phone,Accessories,3,4.94,41.2,Europe,USA,Berlin,Road,WH2,FedEx,12/31/2023,1/2/2024,1/7/2024,1/5/2024,0,15.23,4,0,87.33,Out of Stock,5,3,3319,International,Medium,Low,Regular,3,2023,12,52,Sunday,Peak,Warehouse,Medium,1,0,4.61,1,0
ORD100028,Headphones,Electronics,2,3.26,86.35,Asia,Germany,Chennai,Sea,WH2,UPS,1/13/2023,1/14/2023,1/17/2023,1/21/2023,8,4.36,4,0,73.44,Out of Stock,2,7,4467,International,Low,Medium,Regular,3,2023,1,2,Friday,Off-season,Customs,High,1,0,4.14,1,0
ORD100029,Headphones,Accessories,9,6.55,79.02,Europe,India,Chennai,Sea,WH1,FedEx,1/4/2023,1/5/2023,1/10/2023,1/8/2023,0,1.9,4,0,89.44,In Stock,5,3,1078,Domestic,Low,Medium,Regular,6,2023,1,1,Wednesday,Off-season,Weather,High,0,0,1.35,1,0
ORD100030,Tablet,Accessories,5,1.01,32.68,North America,India,Chennai,Air,WH1,DHL,7/17/2023,7/19/2023,7/25/2023,7/27/2023,4,2.53,3,0,72.84,In Stock,3,8,3913,Domestic,Medium,High,Regular,5,2023,7,29,Monday,Peak,Customs,Low,1,1,1.21,1,1
ORD100031,Headphones,Electronics,6,2.12,18.64,Europe,Germany,Chennai,Air,WH3,DHL,2/3/2023,2/5/2023,2/9/2023,2/10/2023,2,6.36,4,1,99.41,In Stock,2,5,1302,International,Low,Low,Regular,5,2023,2,5,Friday,Peak,Weather,Low,1,0,4.47,1,1
ORD100032,Headphones,Electronics,2,9.29,42.32,North America,USA,Berlin,Road,WH3,FedEx,4/25/2023,4/29/2023,5/8/2023,5/8/2023,0,18.04,2,0,94.11,Out of Stock,5,9,3422,International,Medium,High,Premium,4,2023,4,17,Tuesday,Off-season,Warehouse,Medium,1,1,2.69,0,1
ORD100033,Laptop,Accessories,8,5.14,64.33,North America,Germany,New York,Air,WH3,UPS,4/25/2023,4/26/2023,4/30/2023,5/4/2023,8,14.75,2,1,91.93,In Stock,3,8,4907,International,Medium,Medium,Premium,8,2023,4,17,Tuesday,Peak,Customs,Low,1,1,2.53,0,0
ORD100034,Tablet,Accessories,6,8.31,69.24,Europe,Germany,Chennai,Air,WH2,FedEx,1/26/2023,1/27/2023,2/5/2023,2/4/2023,0,4.37,3,1,84.95,Out of Stock,2,8,4475,Domestic,Low,High,Premium,4,2023,1,4,Thursday,Off-season,Customs,Medium,0,0,3.8,1,1
ORD100035,Camera,Electronics,8,7.4,24.04,Europe,USA,New York,Road,WH1,UPS,1/30/2023,1/31/2023,2/3/2023,2/11/2023,16,6.59,4,0,91.61,Out of Stock,2,11,337,Domestic,High,Low,Premium,6,2023,1,5,Monday,Peak,Warehouse,Medium,0,0,2.53,0,0
ORD100036,Tablet,Accessories,8,3.55,28.69,North America,India,Chennai,Sea,WH2,UPS,1/31/2023,2/2/2023,2/6/2023,2/8/2023,4,2.9,1,0,81.74,Out of Stock,2,6,3385,Domestic,High,Medium,Regular,3,2023,1,5,Tuesday,Peak,Carrier,High,1,1,3.28,1,0
ORD100037,Camera,Electronics,1,8.13,93.36,Europe,India,Berlin,Road,WH3,FedEx,6/1/2023,6/3/2023,6/10/2023,6/5/2023,0,16.82,4,0,79.29,Out of Stock,3,2,2017,International,Medium,High,Regular,8,2023,6,22,Thursday,Peak,Carrier,High,1,1,1.88,1,0
ORD100038,Laptop,Electronics,7,1.37,41.58,Asia,Germany,Chennai,Sea,WH1,FedEx,11/2/2023,11/3/2023,11/9/2023,11/5/2023,0,7.72,1,1,79.82,Out of Stock,3,2,3581,International,Low,High,Premium,5,2023,11,44,Thursday,Peak,Warehouse,High,0,0,1.41,1,1
ORD100039,Phone,Accessories,2,8.81,34.84,Asia,USA,New York,Road,WH2,FedEx,10/23/2023,10/24/2023,10/27/2023,10/28/2023,2,4.61,3,0,98.35,In Stock,3,4,435,International,Medium,Medium,Regular,4,2023,10,43,Monday,Off-season,Carrier,Medium,1,0,1.24,0,1
ORD100040,Headphones,Accessories,8,6.97,71.09,North America,India,Berlin,Sea,WH2,DHL,4/12/2023,4/14/2023,4/23/2023,4/20/2023,0,17.88,4,0,95.18,Out of Stock,4,6,506,Domestic,High,Medium,Regular,6,2023,4,15,Wednesday,Peak,Customs,Low,0,0,1.54,1,0
ORD100041,Laptop,Accessories,2,9.31,49.45,Asia,India,New York,Road,WH1,UPS,3/23/2023,3/26/2023,3/29/2023,4/3/2023,10,9.39,2,0,80.8,Out of Stock,1,8,2270,International,Low,High,Premium,7,2023,3,12,Thursday,Off-season,Weather,Medium,0,1,1.05,1,1
ORD100042,Headphones,Accessories,4,9.01,28.45,North America,Germany,New York,Air,WH2,DHL,6/14/2023,6/18/2023,6/23/2023,6/26/2023,6,19.76,1,0,86.26,Out of Stock,2,8,4597,Domestic,Medium,Low,Regular,8,2023,6,24,Wednesday,Off-season,Customs,High,1,0,2.34,1,0
ORD100043,Phone,Electronics,2,4.11,43.88,North America,Germany,New York,Air,WH3,DHL,10/30/2023,10/31/2023,11/4/2023,11/3/2023,0,8.55,4,1,73.49,Out of Stock,2,3,1794,International,Medium,Low,Premium,7,2023,10,44,Monday,Peak,Warehouse,Medium,1,1,4.88,1,1
ORD100044,Phone,Accessories,7,8.64,18.7,Europe,India,Chennai,Air,WH1,UPS,12/3/2023,12/4/2023,12/8/2023,12/14/2023,12,13.23,3,1,93.88,In Stock,5,10,247,International,Medium,Low,Regular,4,2023,12,48,Sunday,Off-season,Weather,High,1,0,1.14,0,0
ORD100045,Laptop,Electronics,5,5.85,31.56,North America,USA,New York,Sea,WH3,UPS,7/13/2023,7/14/2023,7/21/2023,7/21/2023,0,3.13,1,0,74.55,In Stock,1,7,885,Domestic,Medium,Low,Regular,6,2023,7,28,Thursday,Peak,Customs,High,1,1,3.16,1,1
ORD100046,Phone,Electronics,9,1.99,44.75,Asia,USA,Chennai,Sea,WH1,DHL,2/4/2023,2/6/2023,2/11/2023,2/12/2023,2,16.51,3,0,82.95,Out of Stock,3,6,1588,Domestic,High,Low,Regular,5,2023,2,5,Saturday,Off-season,Warehouse,Medium,1,0,3.47,0,1
ORD100047,Camera,Accessories,5,8.38,54.21,Europe,Germany,Chennai,Sea,WH2,UPS,6/11/2023,6/12/2023,6/18/2023,6/21/2023,6,16.15,4,0,94.11,In Stock,4,9,943,International,Low,Low,Regular,7,2023,6,23,Sunday,Off-season,Carrier,Medium,0,0,3.37,1,0
ORD100048,Phone,Electronics,8,9.13,75.46,Asia,USA,New York,Sea,WH3,DHL,9/13/2023,9/15/2023,9/20/2023,9/25/2023,10,12.21,4,0,91.46,In Stock,4,10,4032,International,High,High,Premium,6,2023,9,37,Wednesday,Peak,Warehouse,Medium,0,1,4.23,1,0
ORD100049,Headphones,Accessories,2,1.3,41.57,Asia,USA,Berlin,Road,WH3,FedEx,8/6/2023,8/9/2023,8/17/2023,8/16/2023,0,2.62,4,0,80.8,Out of Stock,4,7,407,International,High,High,Regular,6,2023,8,31,Sunday,Peak,Carrier,Medium,1,1,1.29,0,0
ORD100050,Headphones,Accessories,3,9.34,56.84,Asia,Germany,Berlin,Sea,WH2,UPS,6/1/2023,6/5/2023,6/8/2023,6/9/2023,2,4.07,3,0,72.22,In Stock,2,4,4382,Domestic,Medium,Medium,Regular,4,2023,6,22,Thursday,Off-season,Carrier,Low,1,1,1.61,1,0
ORD100051,Headphones,Electronics,6,6.21,95.35,North America,India,Chennai,Air,WH2,FedEx,6/28/2023,7/2/2023,7/8/2023,7/4/2023,0,15.34,3,0,76.13,In Stock,3,2,1379,International,Low,Low,Regular,7,2023,6,26,Wednesday,Peak,Carrier,Low,0,0,1.91,0,0
ORD100052,Headphones,Electronics,7,0.75,82.74,Europe,India,Chennai,Sea,WH1,DHL,9/16/2023,9/17/2023,9/26/2023,9/28/2023,4,5.35,2,0,82.39,Out of Stock,2,11,3217,Domestic,Low,Medium,Regular,5,2023,9,37,Saturday,Peak,Weather,Medium,0,0,1.98,0,1
ORD100053,Camera,Electronics,8,5.65,27.52,North America,Germany,Berlin,Sea,WH1,FedEx,1/8/2023,1/11/2023,1/17/2023,1/15/2023,0,11.32,4,0,77.13,Out of Stock,4,4,860,International,Medium,Low,Regular,4,2023,1,1,Sunday,Peak,Warehouse,High,1,0,2.33,0,0
ORD100054,Tablet,Accessories,3,8.07,25.28,Europe,USA,New York,Road,WH1,FedEx,6/29/2023,6/30/2023,7/3/2023,7/9/2023,12,3.84,4,1,79.63,Out of Stock,2,9,2554,International,Low,Medium,Regular,4,2023,6,26,Thursday,Peak,Warehouse,Medium,0,1,2.16,0,0
ORD100055,Laptop,Accessories,7,5.57,67.96,Europe,Germany,Berlin,Sea,WH2,DHL,4/27/2023,5/1/2023,5/7/2023,5/10/2023,6,7.49,2,0,95.77,In Stock,5,9,3639,Domestic,Low,Medium,Premium,9,2023,4,17,Thursday,Off-season,Warehouse,Low,0,0,1.24,1,1
ORD100056,Headphones,Electronics,8,7.22,61.56,Europe,India,Berlin,Sea,WH2,DHL,4/7/2023,4/9/2023,4/15/2023,4/20/2023,10,15.08,1,1,91.43,Out of Stock,4,11,506,Domestic,High,High,Premium,4,2023,4,14,Friday,Peak,Carrier,High,0,0,4.08,0,0
ORD100057,Phone,Accessories,6,8.86,56.95,North America,Germany,Berlin,Air,WH1,UPS,1/21/2023,1/22/2023,1/28/2023,1/30/2023,4,5.31,3,0,93.63,In Stock,2,8,4627,Domestic,Low,Low,Regular,3,2023,1,3,Saturday,Peak,Carrier,Low,0,1,4.98,1,0
ORD100058,Headphones,Accessories,4,8.76,19.65,Asia,Germany,Chennai,Air,WH3,FedEx,5/11/2023,5/12/2023,5/18/2023,5/22/2023,8,9.3,2,1,99.46,In Stock,3,10,2563,Domestic,High,Medium,Regular,9,2023,5,19,Thursday,Off-season,Weather,High,0,0,4.75,1,1
ORD100059,Phone,Electronics,6,2.2,39.45,Europe,India,Berlin,Air,WH1,DHL,1/14/2023,1/16/2023,1/19/2023,1/18/2023,0,14.99,2,0,77.91,Out of Stock,2,2,3682,International,Low,Low,Premium,6,2023,1,2,Saturday,Off-season,Customs,Medium,0,0,4.39,0,0
ORD100060,Phone,Accessories,9,4.56,77.14,Europe,Germany,New York,Air,WH2,DHL,10/17/2023,10/18/2023,10/25/2023,10/21/2023,0,18.28,3,0,81.11,In Stock,2,3,2985,Domestic,Low,High,Regular,6,2023,10,42,Tuesday,Off-season,Warehouse,High,0,1,3.87,1,0
ORD100061,Headphones,Electronics,3,1.56,73.74,Asia,Germany,New York,Road,WH2,DHL,8/27/2023,8/28/2023,9/3/2023,9/5/2023,4,19.41,2,1,84.27,In Stock,1,8,1791,Domestic,High,Medium,Premium,6,2023,8,34,Sunday,Peak,Weather,High,1,0,3.58,1,0
ORD100062,Camera,Electronics,2,6.15,20.69,Asia,India,Berlin,Air,WH3,UPS,3/3/2023,3/7/2023,3/10/2023,3/16/2023,12,6.59,4,1,92.77,In Stock,5,9,2357,International,Low,High,Regular,5,2023,3,9,Friday,Off-season,Customs,Low,1,1,3.91,0,0
ORD100063,Phone,Electronics,5,9.57,45.55,Asia,USA,Chennai,Road,WH1,UPS,11/12/2023,11/16/2023,11/25/2023,11/24/2023,0,5.16,1,1,99.9,Out of Stock,1,8,2343,International,Medium,Low,Premium,8,2023,11,45,Sunday,Peak,Weather,Medium,1,0,2.51,0,1
ORD100064,Phone,Accessories,7,2.23,47.06,North America,Germany,Chennai,Road,WH2,DHL,3/9/2023,3/11/2023,3/17/2023,3/17/2023,0,16.68,4,1,94.69,In Stock,2,6,4273,Domestic,Medium,High,Premium,9,2023,3,10,Thursday,Peak,Customs,Medium,1,1,2.26,0,0
ORD100065,Headphones,Electronics,3,4.33,53.32,Asia,USA,New York,Sea,WH2,FedEx,8/2/2023,8/5/2023,8/14/2023,8/15/2023,2,2.19,4,0,74.68,Out of Stock,5,10,3098,Domestic,High,Medium,Regular,5,2023,8,31,Wednesday,Off-season,Warehouse,Medium,1,1,4.26,0,1
ORD100066,Phone,Electronics,5,9.56,48.81,North America,USA,Chennai,Road,WH3,UPS,11/4/2023,11/6/2023,11/11/2023,11/16/2023,10,14.07,4,1,84.65,Out of Stock,1,10,4843,International,Medium,Medium,Premium,6,2023,11,44,Saturday,Off-season,Customs,Low,1,1,1.09,1,0
ORD100067,Phone,Electronics,4,7.63,52.66,Europe,USA,New York,Sea,WH2,DHL,6/2/2023,6/4/2023,6/7/2023,6/15/2023,16,16.49,2,1,71.35,Out of Stock,1,11,2426,International,High,High,Regular,3,2023,6,22,Friday,Off-season,Customs,Low,1,0,2.64,1,1
ORD100068,Headphones,Electronics,7,1.18,82.25,Asia,USA,Chennai,Air,WH1,UPS,2/22/2023,2/25/2023,3/2/2023,3/1/2023,0,9.8,3,1,86.05,In Stock,2,4,1283,Domestic,Medium,High,Premium,7,2023,2,8,Wednesday,Off-season,Warehouse,High,0,1,2.28,0,1
ORD100069,Headphones,Accessories,2,4.57,42,Europe,Germany,Berlin,Road,WH1,DHL,5/13/2023,5/14/2023,5/17/2023,5/22/2023,10,17.81,1,0,90.54,In Stock,3,8,856,International,Low,Low,Premium,7,2023,5,19,Saturday,Off-season,Customs,High,1,1,2.06,0,0
ORD100070,Laptop,Electronics,7,9.88,57.44,Europe,India,New York,Road,WH3,FedEx,1/23/2023,1/26/2023,1/31/2023,2/3/2023,6,5.7,1,1,77.12,In Stock,1,8,2775,Domestic,Medium,High,Premium,3,2023,1,4,Monday,Off-season,Weather,High,1,1,2.54,0,1
ORD100071,Camera,Accessories,2,4.81,62.64,Asia,Germany,New York,Sea,WH1,FedEx,3/30/2023,4/2/2023,4/10/2023,4/11/2023,2,15.78,2,0,87.7,Out of Stock,5,9,426,Domestic,Medium,High,Regular,3,2023,3,13,Thursday,Peak,Customs,Medium,0,1,1.15,1,1
ORD100072,Camera,Electronics,3,6.48,94.52,North America,USA,New York,Sea,WH1,UPS,7/25/2023,7/26/2023,8/4/2023,8/6/2023,4,14.81,4,0,89.34,In Stock,4,11,4007,Domestic,Low,Medium,Premium,3,2023,7,30,Tuesday,Off-season,Weather,Low,0,1,3.76,1,0
ORD100073,Phone,Accessories,5,7.16,67.2,Europe,USA,New York,Road,WH1,FedEx,8/26/2023,8/30/2023,9/2/2023,9/1/2023,0,16.03,2,1,70.29,In Stock,5,2,4608,International,High,Medium,Regular,7,2023,8,34,Saturday,Peak,Customs,Medium,1,1,2.8,1,0
ORD100074,Camera,Accessories,7,6.81,17.41,Europe,Germany,Chennai,Air,WH2,FedEx,2/26/2023,2/27/2023,3/8/2023,3/3/2023,0,6.81,1,1,88.35,In Stock,3,4,1519,International,High,Medium,Premium,9,2023,2,8,Sunday,Off-season,Carrier,Medium,0,1,3.74,0,1
ORD100075,Phone,Accessories,6,5.43,60.33,North America,USA,New York,Air,WH1,FedEx,3/30/2023,3/31/2023,4/3/2023,4/6/2023,6,4.06,4,0,99.07,Out of Stock,5,6,1170,International,Low,High,Premium,4,2023,3,13,Thursday,Peak,Warehouse,High,1,1,3.02,1,1
ORD100076,Laptop,Accessories,7,1.76,67.88,Europe,USA,New York,Sea,WH1,DHL,3/21/2023,3/25/2023,3/28/2023,3/28/2023,0,18.22,1,1,95.92,Out of Stock,1,3,3586,International,Medium,High,Regular,3,2023,3,12,Tuesday,Off-season,Weather,Medium,1,1,1.9,1,0
ORD100077,Headphones,Electronics,6,7.23,5.9,Asia,Germany,New York,Air,WH3,DHL,1/30/2023,2/3/2023,2/7/2023,2/6/2023,0,6.92,4,1,75.87,In Stock,3,3,2789,Domestic,Medium,High,Premium,7,2023,1,5,Monday,Off-season,Carrier,Low,0,1,3.69,0,0
ORD100078,Headphones,Electronics,1,9.37,12.15,North America,Germany,Chennai,Sea,WH3,FedEx,1/15/2023,1/16/2023,1/21/2023,1/18/2023,0,1.76,1,0,82.39,Out of Stock,1,2,841,Domestic,Low,Medium,Regular,8,2023,1,2,Sunday,Peak,Weather,Low,1,0,2.21,0,0
ORD100079,Headphones,Accessories,5,9.45,6.8,Asia,India,New York,Sea,WH2,UPS,12/12/2023,12/13/2023,12/22/2023,12/16/2023,0,7.03,1,0,87.33,Out of Stock,1,3,1977,Domestic,Medium,High,Premium,9,2023,12,50,Tuesday,Peak,Customs,Low,0,1,2.19,1,0
ORD100080,Camera,Accessories,1,6.14,9.58,Asia,USA,Chennai,Sea,WH1,FedEx,12/13/2023,12/14/2023,12/18/2023,12/25/2023,14,12.91,3,0,70.35,Out of Stock,2,11,1107,International,Medium,Medium,Premium,8,2023,12,50,Wednesday,Peak,Weather,Low,1,1,3.32,1,1
ORD100081,Laptop,Accessories,7,5.18,13.52,Asia,USA,Berlin,Air,WH1,FedEx,3/26/2023,3/29/2023,4/1/2023,4/7/2023,12,4.85,4,1,88.27,Out of Stock,4,9,702,Domestic,High,Low,Regular,6,2023,3,12,Sunday,Peak,Carrier,Low,1,1,1.08,1,1
ORD100082,Camera,Electronics,4,3.67,95.99,Europe,Germany,New York,Air,WH1,FedEx,7/21/2023,7/22/2023,7/30/2023,8/1/2023,4,2.89,4,0,85.39,In Stock,1,10,1464,International,High,Low,Regular,5,2023,7,29,Friday,Off-season,Customs,Low,1,0,2.19,0,0
ORD100083,Camera,Accessories,5,1.48,24.64,Europe,Germany,Berlin,Air,WH2,DHL,11/23/2023,11/25/2023,12/1/2023,11/29/2023,0,6.77,1,0,96.36,Out of Stock,2,4,4283,International,Low,Medium,Premium,5,2023,11,47,Thursday,Peak,Carrier,Medium,1,0,2.35,0,1
ORD100084,Laptop,Accessories,1,8.89,24.43,North America,USA,New York,Sea,WH1,DHL,9/21/2023,9/22/2023,9/25/2023,10/2/2023,14,12.1,2,1,71.05,Out of Stock,4,10,3973,International,High,High,Regular,8,2023,9,38,Thursday,Off-season,Warehouse,High,1,1,2.91,0,1
